"Type","MD","FY","FH","Gallons","Cost"
"Trainer","T-41",2004,580,-3662,1747
"Trainer","T-41",2005,955,2582,13887
"Trainer","T-41",2006,975,6317,28432
"Trainer","T-41",2007,1175,8510,36053
"Trainer","T-41",2008,1175,8219,46528
"Trainer","T-41",2009,1175,8311,37724
"Trainer","T-41",2010,625,2554,22017
"Trainer","T-41",2011,697,3358,35871
"Trainer","T-41",2012,1038,6600,40733
"Trainer","T-41",2013,1098,7052,49746
"Trainer","T-41",2014,1241,8143,56904
"Trainer","T-51",1998,-514,3307,3246
"Trainer","T-51",1999,-514,2925,2673
"Trainer","T-51",2000,-514,4606,5146
"Trainer","T-51",2001,-514,4175,4563
"Trainer","T-51",2002,-514,2016,1387
"Trainer","T-51",2005,-237,1521,567
"Trainer","T-51",2006,596,1521,567
"Trainer","T-51",2007,728,1521,567
"Trainer","T-51",2008,721,9710,36442
"Trainer","T-51",2009,553,11109,25866
"Trainer","T-51",2010,686,11110,31153
"Trainer","T-51",2011,672,11026,44270
"Trainer","T-51",2012,570,9703,37578
"Trainer","T-51",2013,611,10230,43911
"Trainer","T-51",2014,688,3356,13798
"Trainer","T-53",2011,-440,2527,9126
"Trainer","T-53",2012,5132,55919,213688
"Trainer","T-53",2013,7283,83981,352601
"Trainer","T-53",2014,6126,68964,287580
"Trainer","T-6",2000,-62827,2412205,1642965
"Trainer","T-6",2001,-55844,2847439,2121494
"Trainer","T-6",2002,-36830,4410228,3681372
"Trainer","T-6",2003,-17315,5340061,4148983
"Trainer","T-6",2004,1579,6568534,5524515
"Trainer","T-6",2005,21115,7857970,9949703
"Trainer","T-6",2006,45064,9408011,17649737
"Trainer","T-6",2007,61446,10518164,19991872
"Trainer","T-6",2008,77886,11600973,31386557
"Trainer","T-6",2009,96174,12858337,23757920
"Trainer","T-6",2010,118329,14297982,34091224
"Trainer","T-6",2011,127958,14939310,44504392
"Trainer","T-6",2012,113879,13921997,42249305
"Trainer","T-6",2013,104078,13370066,43208316
"Trainer","T-6",2014,105021,13551773,42648449
"Trainer","TC-130",2002,26,70157,102572
"Trainer","TC-130",2003,221,209619,204962
"Trainer","TC-130",2004,412,351052,351715
"Trainer","TC-130",2005,440,351974,555380
"Trainer","TC-130",2006,481,369925,864221
"Trainer","TC-130",2007,277,252725,632004
"Trainer","TC-130",2008,-118,-22314,35785
"Trainer","TC-130",2009,336,297713,738175
"Trainer","TC-130",2010,441,382312,1103846
"Trainer","TC-130",2011,293,269617,1042902
"Trainer","TC-130",2012,377,312403,1165453
"Trainer","TC-130",2013,366,325294,1330190
"Trainer","TC-130",2014,204,209821,873346
"Trainer","TC-135",1996,1647,2398375,2068408
"Trainer","TC-135",1997,1901,2899735,2480589
"Trainer","TC-135",1998,2036,3191886,3140850
"Trainer","TC-135",1999,1315,1764393,1707867
"Trainer","TC-135",2000,1137,1567602,1246416
"Trainer","TC-135",2001,1107,1459536,1698410
"Trainer","TC-135",2002,1063,1441296,1671110
"Trainer","TC-135",2003,2086,3098957,2843693
"Trainer","TC-135",2004,2203,3204295,3157301
"Trainer","TC-135",2005,2237,3152730,4744673
"Trainer","TC-135",2006,2944,4182795,9599935
"Trainer","TC-135",2007,2524,3617928,8188365
"Trainer","TC-135",2008,1996,2726305,8596461
"Trainer","TC-135",2009,2212,3071479,6556681
"Trainer","TC-135",2010,2468,3259911,8838367
"Trainer","TC-135",2011,2145,2842836,9699663
"Trainer","TC-135",2012,2550,3407437,11410113
"Trainer","TC-135",2013,2123,2787811,10435897
"Trainer","TC-135",2014,2415,3207399,11622829
"Trainer","TH-1",2008,1199,117632,125222
"Trainer","TH-1",2009,5447,472040,837905
"Trainer","TH-1",2010,6919,594154,1441393
"Trainer","TH-1",2011,7180,580948,1732924
"Trainer","TH-1",2012,7261,602423,1826298
"Trainer","TH-1",2013,9823,819917,2857587
"Trainer","TH-1",2014,9938,844006,2863221
"Trainer","TU-2",1996,946,10932,38623
"Trainer","TU-2",1997,793,108680,115844
"Trainer","TU-2",1998,690,11791,39619
"Trainer","TU-2",1999,804,15780,42744
"Trainer","TU-2",2000,869,10932,38623
"Trainer","TU-2",2001,698,10932,38623
"Trainer","TU-2",2002,691,10932,38623
"Trainer","TU-2",2003,647,248039,607680
"Trainer","TU-2",2004,985,352201,615368
"Trainer","TU-2",2005,1083,371114,1443333
"Trainer","TU-2",2006,950,330063,1283234
"Trainer","TU-2",2007,968,334812,1301755
"Trainer","TU-2",2008,496,282944,1232124
"Trainer","TU-2",2009,811,326645,2074972
"Trainer","TU-2",2010,1094,350406,2228230
"Trainer","TU-2",2011,974,325066,2064745
"Trainer","TU-2",2012,1084,348487,2215853
"Trainer","TU-2",2013,1039,345161,2194400
"Trainer","TU-2",2014,1196,374755,2385281
"Trainer","UV-18",1996,1932,98973,85876
"Trainer","UV-18",1997,1928,108860,93899
"Trainer","UV-18",1998,1959,107982,112064
"Trainer","UV-18",1999,1952,107639,105609
"Trainer","UV-18",2000,1788,123524,94243
"Trainer","UV-18",2001,1934,111742,130353
"Trainer","UV-18",2002,2015,106660,120966
"Trainer","UV-18",2003,2174,128523,127676
"Trainer","UV-18",2004,1609,97300,107079
"Trainer","UV-18",2005,1864,107782,186980
"Trainer","UV-18",2006,2296,144754,379091
"Trainer","UV-18",2007,2106,133688,344206
"Trainer","UV-18",2008,2031,127074,460471
"Trainer","UV-18",2009,1637,98824,247254
"Trainer","UV-18",2010,1902,118401,367186
"Trainer","UV-18",2011,2001,123201,487352
"Trainer","UV-18",2012,2058,124137,490207
"Trainer","UV-18",2013,2071,115108,493645
"Trainer","UV-18",2014,1800,100875,431462
"Transport/Tanker","C-12",1996,4784,350759,425944
"Transport/Tanker","C-12",1997,4725,679954,771683
"Transport/Tanker","C-12",1998,5992,899736,1101655
"Transport/Tanker","C-12",1999,4784,792351,929911
"Transport/Tanker","C-12",2000,4082,840776,800821
"Transport/Tanker","C-12",2001,4308,899515,1156983
"Transport/Tanker","C-12",2002,4133,476572,693260
"Transport/Tanker","C-12",2003,4049,675739,909892
"Transport/Tanker","C-12",2004,4061,644150,888581
"Transport/Tanker","C-12",2005,3972,546249,1184348
"Transport/Tanker","C-12",2006,3634,625468,2026346
"Transport/Tanker","C-12",2007,3233,858790,2558935
"Transport/Tanker","C-12",2008,3833,864403,3572690
"Transport/Tanker","C-12",2009,4642,973130,2686493
"Transport/Tanker","C-12",2010,4275,891738,3049168
"Transport/Tanker","C-12",2011,4099,450856,1994195
"Transport/Tanker","C-12",2012,4173,440990,2020183
"Transport/Tanker","C-12",2013,3932,388555,1983187
"Transport/Tanker","C-12",2014,3342,364760,1806478
"Transport/Tanker","C-130",1996,258281,216031099,155641527
"Transport/Tanker","C-130",1997,244948,192819059,139932606
"Transport/Tanker","C-130",1998,245615,190043861,160694991
"Transport/Tanker","C-130",1999,243563,188817469,147491116
"Transport/Tanker","C-130",2000,229835,185979523,114056464
"Transport/Tanker","C-130",2001,234545,184976018,172395274
"Transport/Tanker","C-130",2002,269958,192481459,178838035
"Transport/Tanker","C-130",2003,296064,226516602,192422695
"Transport/Tanker","C-130",2004,283927,228012374,202185245
"Transport/Tanker","C-130",2005,263928,211799477,295289852
"Transport/Tanker","C-130",2006,238114,191198227,385757371
"Transport/Tanker","C-130",2007,224139,178933337,356985070
"Transport/Tanker","C-130",2008,210850,170629238,477047653
"Transport/Tanker","C-130",2009,202106,162456805,307170958
"Transport/Tanker","C-130",2010,208941,165660723,401755007
"Transport/Tanker","C-130",2011,201293,159378068,471973942
"Transport/Tanker","C-130",2012,182840,141175763,425042767
"Transport/Tanker","C-130",2013,156625,120515703,375727308
"Transport/Tanker","C-130",2014,148183,115024276,341014174
"Transport/Tanker","C-17",1996,13814,-5583797,68805078
"Transport/Tanker","C-17",1997,19378,11178773,83328218
"Transport/Tanker","C-17",1998,35477,46747464,126901439
"Transport/Tanker","C-17",1999,49617,85855716,152405040
"Transport/Tanker","C-17",2000,51199,98196521,133383943
"Transport/Tanker","C-17",2001,74532,158379163,252763031
"Transport/Tanker","C-17",2002,103139,209497593,304535297
"Transport/Tanker","C-17",2003,153408,381286362,412596848
"Transport/Tanker","C-17",2004,149640,387353509,449926473
"Transport/Tanker","C-17",2005,151314,394525474,719723427
"Transport/Tanker","C-17",2006,152003,397743729,1074002976
"Transport/Tanker","C-17",2007,171446,450772638,1184406762
"Transport/Tanker","C-17",2008,180903,481628435,1777378179
"Transport/Tanker","C-17",2009,208107,541301262,1324438573
"Transport/Tanker","C-17",2010,225221,592448328,1835708607
"Transport/Tanker","C-17",2011,213865,550352722,2135092708
"Transport/Tanker","C-17",2012,195464,497283048,2036327584
"Transport/Tanker","C-17",2013,172160,432458268,1927639533
"Transport/Tanker","C-17",2014,175466,428718549,1851971944
"Transport/Tanker","C-20",1996,5619,3411985,3507318
"Transport/Tanker","C-20",1997,5176,3068126,3332172
"Transport/Tanker","C-20",1998,5657,3275602,3996514
"Transport/Tanker","C-20",1999,5603,3573564,4187755
"Transport/Tanker","C-20",2000,4378,3453703,3446408
"Transport/Tanker","C-20",2001,4350,3403448,4658116
"Transport/Tanker","C-20",2002,4237,2244829,3253510
"Transport/Tanker","C-20",2003,3341,2208013,2929485
"Transport/Tanker","C-20",2004,3741,2610353,3543489
"Transport/Tanker","C-20",2005,2898,2124288,4709314
"Transport/Tanker","C-20",2006,3431,2298459,7472546
"Transport/Tanker","C-20",2007,3567,2379895,7533401
"Transport/Tanker","C-20",2008,4180,2722883,11804910
"Transport/Tanker","C-20",2009,3372,2487382,7210134
"Transport/Tanker","C-20",2010,3282,2202104,8884458
"Transport/Tanker","C-20",2011,1925,1391530,7530581
"Transport/Tanker","C-20",2012,2087,1471116,8486344
"Transport/Tanker","C-20",2013,1385,1021124,6818978
"Transport/Tanker","C-20",2014,1807,1178739,7221708
"Transport/Tanker","C-21",1996,37709,6434173,7536536
"Transport/Tanker","C-21",1997,35457,6729460,8071632
"Transport/Tanker","C-21",1998,33909,5961624,8625621
"Transport/Tanker","C-21",1999,34958,6447171,8478040
"Transport/Tanker","C-21",2000,35021,6801335,6943475
"Transport/Tanker","C-21",2001,37532,7492781,11058794
"Transport/Tanker","C-21",2002,38675,5957577,9247582
"Transport/Tanker","C-21",2003,36021,7664434,9627237
"Transport/Tanker","C-21",2004,35462,7455876,10275705
"Transport/Tanker","C-21",2005,35464,7872968,16821251
"Transport/Tanker","C-21",2006,33492,7628832,24440645
"Transport/Tanker","C-21",2007,17453,3886901,15686350
"Transport/Tanker","C-21",2008,13630,2987420,19027407
"Transport/Tanker","C-21",2009,13092,2837235,12568594
"Transport/Tanker","C-21",2010,11696,2606643,15043170
"Transport/Tanker","C-21",2011,11481,2347590,17540591
"Transport/Tanker","C-21",2012,10072,2030646,17127847
"Transport/Tanker","C-21",2013,4546,932253,14054682
"Transport/Tanker","C-21",2014,-1967,-558917,7951137
"Transport/Tanker","C-32",1998,1358,-843495,434102
"Transport/Tanker","C-32",1999,3554,1199371,2349467
"Transport/Tanker","C-32",2000,3981,1449267,2089363
"Transport/Tanker","C-32",2001,3725,1611017,3202227
"Transport/Tanker","C-32",2002,3345,1165346,2646800
"Transport/Tanker","C-32",2003,3994,2657335,3646061
"Transport/Tanker","C-32",2004,4880,3655093,5006516
"Transport/Tanker","C-32",2005,4673,3482726,7988582
"Transport/Tanker","C-32",2006,4488,3332225,11564539
"Transport/Tanker","C-32",2007,4297,3154979,10681383
"Transport/Tanker","C-32",2008,4642,3586663,16577102
"Transport/Tanker","C-32",2009,5153,4163136,12167382
"Transport/Tanker","C-32",2010,5105,4180667,15711859
"Transport/Tanker","C-32",2011,5013,4494871,20798429
"Transport/Tanker","C-32",2012,4663,3991103,18960648
"Transport/Tanker","C-32",2013,4170,3598643,19140256
"Transport/Tanker","C-32",2014,4970,4930653,23812605
"Transport/Tanker","C-37",1999,2513,193335,515347
"Transport/Tanker","C-37",2000,3287,749208,824806
"Transport/Tanker","C-37",2001,4409,1313023,1800018
"Transport/Tanker","C-37",2002,7203,2375560,2878630
"Transport/Tanker","C-37",2003,8329,3448429,3506039
"Transport/Tanker","C-37",2004,9112,3805969,4169791
"Transport/Tanker","C-37",2005,9027,3911083,6869067
"Transport/Tanker","C-37",2006,9535,4039665,10750724
"Transport/Tanker","C-37",2007,8629,3617735,9761954
"Transport/Tanker","C-37",2008,9049,3837277,14159789
"Transport/Tanker","C-37",2009,9040,3876870,9398543
"Transport/Tanker","C-37",2010,8990,3897454,12167168
"Transport/Tanker","C-37",2011,8765,3742769,14372523
"Transport/Tanker","C-37",2012,9577,4096938,16229967
"Transport/Tanker","C-37",2013,8729,3630168,15905719
"Transport/Tanker","C-37",2014,8189,3046883,13142850
"Transport/Tanker","C-38",1998,205,90683,75836
"Transport/Tanker","C-38",1999,892,226132,192146
"Transport/Tanker","C-38",2000,1104,314864,228356
"Transport/Tanker","C-38",2001,1233,340523,355801
"Transport/Tanker","C-38",2002,1202,289225,286367
"Transport/Tanker","C-38",2003,872,259263,224623
"Transport/Tanker","C-38",2004,1150,333301,321434
"Transport/Tanker","C-38",2005,894,262552,384675
"Transport/Tanker","C-38",2006,927,254620,562418
"Transport/Tanker","C-38",2007,973,268456,599707
"Transport/Tanker","C-38",2008,921,253549,784399
"Transport/Tanker","C-38",2009,685,197898,399096
"Transport/Tanker","C-38",2010,741,213650,535212
"Transport/Tanker","C-38",2011,485,156887,483636
"Transport/Tanker","C-38",2012,1006,293945,988176
"Transport/Tanker","C-38",2013,862,263762,943361
"Transport/Tanker","C-38",2014,723,209824,709464
"Transport/Tanker","C-40",2002,1443,-1232368,417679
"Transport/Tanker","C-40",2003,4516,1445289,2906147
"Transport/Tanker","C-40",2004,5528,2131236,3835527
"Transport/Tanker","C-40",2005,6185,2826894,7150185
"Transport/Tanker","C-40",2006,6729,3211536,11670708
"Transport/Tanker","C-40",2007,7869,4446582,14541313
"Transport/Tanker","C-40",2008,8194,4547009,20975252
"Transport/Tanker","C-40",2009,8472,4766657,14474268
"Transport/Tanker","C-40",2010,8411,4673195,18043764
"Transport/Tanker","C-40",2011,8174,4499451,21223476
"Transport/Tanker","C-40",2012,8368,4660884,22378064
"Transport/Tanker","C-40",2013,7319,3777406,20385637
"Transport/Tanker","C-40",2014,8401,4589299,22702525
"Transport/Tanker","C-5",1996,49228,192718094,203144654
"Transport/Tanker","C-5",1997,43793,160785053,183109132
"Transport/Tanker","C-5",1998,46153,153785913,206228031
"Transport/Tanker","C-5",1999,38651,130234681,172606619
"Transport/Tanker","C-5",2000,34320,139569572,141058765
"Transport/Tanker","C-5",2001,40038,140858326,211879709
"Transport/Tanker","C-5",2002,77071,234004121,304687555
"Transport/Tanker","C-5",2003,84887,309484963,330457872
"Transport/Tanker","C-5",2004,55315,205060421,251707356
"Transport/Tanker","C-5",2005,45473,170306004,349309425
"Transport/Tanker","C-5",2006,35320,130670860,434076180
"Transport/Tanker","C-5",2007,25738,96479998,361568922
"Transport/Tanker","C-5",2008,25100,91831612,493098131
"Transport/Tanker","C-5",2009,27823,99622439,355571411
"Transport/Tanker","C-5",2010,29468,107445881,477096038
"Transport/Tanker","C-5",2011,19089,70804487,457526851
"Transport/Tanker","C-5",2012,12561,47087039,389697697
"Transport/Tanker","C-5",2013,7558,29183383,353616962
"Transport/Tanker","C-5",2014,2497,11288528,271624313
"Transport/Tanker","CV-22",2006,-1991,-551762,810370
"Transport/Tanker","CV-22",2007,-830,134787,2327119
"Transport/Tanker","CV-22",2008,-8,516414,4437675
"Transport/Tanker","CV-22",2009,1089,929186,3986173
"Transport/Tanker","CV-22",2010,1219,805696,4548837
"Transport/Tanker","CV-22",2011,2772,1437222,7584823
"Transport/Tanker","CV-22",2012,3408,1495150,8060666
"Transport/Tanker","CV-22",2013,5582,3198328,15263562
"Transport/Tanker","CV-22",2014,6807,3612320,16316815
"Transport/Tanker","HC-130",1996,18640,11023726,8599579
"Transport/Tanker","HC-130",1997,10499,7660244,6092983
"Transport/Tanker","HC-130",1998,9950,7352865,6867282
"Transport/Tanker","HC-130",1999,10510,7947600,6852502
"Transport/Tanker","HC-130",2000,11108,8726125,5874969
"Transport/Tanker","HC-130",2001,10504,8392495,8531221
"Transport/Tanker","HC-130",2002,11209,8383085,8574079
"Transport/Tanker","HC-130",2003,10777,9651649,8300425
"Transport/Tanker","HC-130",2004,12061,9268913,8890258
"Transport/Tanker","HC-130",2005,10739,8646472,13023830
"Transport/Tanker","HC-130",2006,10928,8817904,19173393
"Transport/Tanker","HC-130",2007,11500,9185563,20186369
"Transport/Tanker","HC-130",2008,11282,8901865,26971736
"Transport/Tanker","HC-130",2009,10737,8408683,17480171
"Transport/Tanker","HC-130",2010,11017,8724275,25278646
"Transport/Tanker","HC-130",2011,11444,9128602,33993352
"Transport/Tanker","HC-130",2012,10298,8217670,32668045
"Transport/Tanker","HC-130",2013,8513,6568904,23631463
"Transport/Tanker","HC-130",2014,8676,6386190,21867562
"Transport/Tanker","KC-10",1996,55535,153235816,125496356
"Transport/Tanker","KC-10",1997,53671,138668376,124367158
"Transport/Tanker","KC-10",1998,51922,130948774,136552056
"Transport/Tanker","KC-10",1999,56493,158844546,148787007
"Transport/Tanker","KC-10",2000,51774,137233630,104372473
"Transport/Tanker","KC-10",2001,49090,142376446,159814964
"Transport/Tanker","KC-10",2002,84651,229839698,245926323
"Transport/Tanker","KC-10",2003,66353,201100021,186117444
"Transport/Tanker","KC-10",2004,63876,179609056,179053949
"Transport/Tanker","KC-10",2005,62093,172985211,268724954
"Transport/Tanker","KC-10",2006,64396,179811816,411979652
"Transport/Tanker","KC-10",2007,71386,201051612,454433457
"Transport/Tanker","KC-10",2008,74516,211618433,674993834
"Transport/Tanker","KC-10",2009,74628,211188501,463115311
"Transport/Tanker","KC-10",2010,70680,198084420,538827527
"Transport/Tanker","KC-10",2011,69888,198751268,674590679
"Transport/Tanker","KC-10",2012,64894,182495160,629831831
"Transport/Tanker","KC-10",2013,52269,144481410,538930928
"Transport/Tanker","KC-10",2014,55008,150824220,546621449
"Transport/Tanker","KC-135",1996,193970,328733251,243359348
"Transport/Tanker","KC-135",1997,192991,349478612,262362115
"Transport/Tanker","KC-135",1998,193760,351386360,304031169
"Transport/Tanker","KC-135",1999,195984,365695904,290160595
"Transport/Tanker","KC-135",2000,164516,321905797,200524371
"Transport/Tanker","KC-135",2001,171472,362362817,347761805
"Transport/Tanker","KC-135",2002,226808,409639697,392205897
"Transport/Tanker","KC-135",2003,231630,446950368,366816642
"Transport/Tanker","KC-135",2004,236263,448694605,402514023
"Transport/Tanker","KC-135",2005,227784,427506954,596642595
"Transport/Tanker","KC-135",2006,221229,406573032,835619205
"Transport/Tanker","KC-135",2007,220731,404178760,829038852
"Transport/Tanker","KC-135",2008,220978,400062257,1156570533
"Transport/Tanker","KC-135",2009,211063,385302834,752040293
"Transport/Tanker","KC-135",2010,216686,394073259,968379299
"Transport/Tanker","KC-135",2011,249874,461775827,1449108546
"Transport/Tanker","KC-135",2012,204933,375231362,1177493450
"Transport/Tanker","KC-135",2013,170860,307844789,1016153186
"Transport/Tanker","KC-135",2014,177431,318771245,1026145731
"Transport/Tanker","LC-130",1996,2572,1650704,1962048
"Transport/Tanker","LC-130",1997,3002,1545335,2102887
"Transport/Tanker","LC-130",1998,3737,1434225,2220709
"Transport/Tanker","LC-130",1999,4666,3532891,4391770
"Transport/Tanker","LC-130",2000,4453,3504526,3123986
"Transport/Tanker","LC-130",2001,4668,1106986,2105699
"Transport/Tanker","LC-130",2002,4217,3088236,4018951
"Transport/Tanker","LC-130",2003,4613,1236579,1989947
"Transport/Tanker","LC-130",2004,4820,1226214,2116898
"Transport/Tanker","LC-130",2005,5229,1269225,3581690
"Transport/Tanker","LC-130",2006,5091,1005013,4763549
"Transport/Tanker","LC-130",2007,5217,1468987,5696818
"Transport/Tanker","LC-130",2008,4852,1360009,7826331
"Transport/Tanker","LC-130",2009,4120,1351618,4522809
"Transport/Tanker","LC-130",2010,4437,1247921,5729497
"Transport/Tanker","LC-130",2011,4461,1212010,7018798
"Transport/Tanker","LC-130",2012,4555,1485018,7760662
"Transport/Tanker","LC-130",2013,3671,1010292,6753986
"Transport/Tanker","LC-130",2014,3534,1172240,7193761
"Transport/Tanker","VC-25",1996,652,3086146,2352454
"Transport/Tanker","VC-25",1997,549,2683261,2180915
"Transport/Tanker","VC-25",1998,584,2518768,2289640
"Transport/Tanker","VC-25",1999,723,3056284,2572870
"Transport/Tanker","VC-25",2000,575,2785065,2004505
"Transport/Tanker","VC-25",2001,397,2151893,2076476
"Transport/Tanker","VC-25",2002,601,2733189,2620711
"Transport/Tanker","VC-25",2003,415,2347400,2025230
"Transport/Tanker","VC-25",2004,910,4334762,4153495
"Transport/Tanker","VC-25",2005,720,3513281,5285627
"Transport/Tanker","VC-25",2006,662,3271310,6939776
"Transport/Tanker","VC-25",2007,521,2862692,6104234
"Transport/Tanker","VC-25",2008,559,2940403,9293981
"Transport/Tanker","VC-25",2009,442,2531028,4510779
"Transport/Tanker","VC-25",2010,428,2428672,5871600
"Transport/Tanker","VC-25",2011,499,2704740,8034881
"Transport/Tanker","VC-25",2012,789,3860487,12046443
"Transport/Tanker","VC-25",2013,584,3138486,10780054
"Transport/Tanker","VC-25",2014,388,2269808,7231639
"UAV/Drone","MQ-1",1997,-19354,-46544,12
"UAV/Drone","MQ-1",1998,-17475,-46544,12
"UAV/Drone","MQ-1",1999,-12062,-46544,12
"UAV/Drone","MQ-1",2000,-10100,-18179,37864
"UAV/Drone","MQ-1",2001,-7614,-40209,-1805
"UAV/Drone","MQ-1",2002,9549,221176,267732
"UAV/Drone","MQ-1",2003,8342,-45223,1241
"UAV/Drone","MQ-1",2004,13089,-46544,12
"UAV/Drone","MQ-1",2005,17604,-31866,26758
"UAV/Drone","MQ-1",2006,35236,-32095,35123
"UAV/Drone","MQ-1",2007,57322,-46544,12
"UAV/Drone","MQ-1",2008,127436,-46544,12
"UAV/Drone","MQ-1",2009,167258,-46544,12
"UAV/Drone","MQ-1",2010,181003,-46454,308
"UAV/Drone","MQ-1",2011,217625,-44954,5196
"UAV/Drone","MQ-1",2012,193827,-44397,11027
"UAV/Drone","MQ-1",2013,177046,-40299,94687
"UAV/Drone","MQ-1",2014,172475,-44687,12814
"UAV/Drone","MQ-9",2004,-51593,-50186,24981
"UAV/Drone","MQ-9",2005,-49769,-38255,43116
"UAV/Drone","MQ-9",2006,-48960,-49230,27304
"UAV/Drone","MQ-9",2007,-45234,-20413,88860
"UAV/Drone","MQ-9",2008,-38748,41294,342880
"UAV/Drone","MQ-9",2009,-25900,116248,412717
"UAV/Drone","MQ-9",2010,3897,175324,622302
"UAV/Drone","MQ-9",2011,33541,213102,1010919
"UAV/Drone","MQ-9",2012,64995,389513,1546022
"UAV/Drone","MQ-9",2013,102762,411494,1747047
"UAV/Drone","MQ-9",2014,134058,182113,864972
"UAV/Drone","QF-4",1996,-84,-285520,128595
"UAV/Drone","QF-4",1997,-84,462856,706164
"UAV/Drone","QF-4",1998,-84,1570088,1872006
"UAV/Drone","QF-4",1999,-84,1583481,1697862
"UAV/Drone","QF-4",2000,183,1878765,1473260
"UAV/Drone","QF-4",2001,290,1403906,1875594
"UAV/Drone","QF-4",2002,698,1286702,1735007
"UAV/Drone","QF-4",2003,853,-410453,34835
"UAV/Drone","QF-4",2004,360,-394137,53972
"UAV/Drone","QF-4",2005,-84,-374914,103979
"UAV/Drone","QF-4",2006,90,-271051,371516
"UAV/Drone","QF-4",2007,1136,-336540,226191
"UAV/Drone","QF-4",2008,751,-201338,703726
"UAV/Drone","QF-4",2009,1084,-220073,439086
"UAV/Drone","QF-4",2010,1415,-203311,603787
"UAV/Drone","QF-4",2011,1120,-209330,710970
"UAV/Drone","QF-4",2012,1146,-170508,820553
"UAV/Drone","QF-4",2013,921,-391159,134154
"UAV/Drone","QF-4",2014,749,-402051,84067
"UAV/Drone","RQ-4",2002,2720,-479687,102859
"UAV/Drone","RQ-4",2003,2720,-461102,116654
"UAV/Drone","RQ-4",2004,2720,-417512,158417
"UAV/Drone","RQ-4",2005,2720,-298833,370458
"UAV/Drone","RQ-4",2006,5070,-258115,618752
"UAV/Drone","RQ-4",2007,8023,-46518,1072139
"UAV/Drone","RQ-4",2008,9915,122766,2048490
"UAV/Drone","RQ-4",2009,9995,132259,1432973
"UAV/Drone","RQ-4",2010,11046,240261,2051906
"UAV/Drone","RQ-4",2011,15955,652623,3925475
"UAV/Drone","RQ-4",2012,16219,731713,4280394
"UAV/Drone","RQ-4",2013,20257,1035397,5788905
"UAV/Drone","RQ-4",2014,27097,1635773,7794931
